
Oct 20, 2021	SDIG	Stronghold Digital Mining	$19.00	$27.00	42.11%
Oct 20, 2021	AXH	Industrial Human Capital	$10.00	$10.16	1.60%
Oct 20, 2021	CYN	Cyngn	$7.50	$7.40	-1.33%
Oct 20, 2021	ESAC	ESGEN Acquisition	$10.00	$10.08	0.80%
Oct 20, 2021	ACAQ	Athena Consumer Acquisition	$10.00	$10.20	2.00%
Oct 20, 2021	NCAC	Newcourt Acquisition	$10.00	$10.10	1.00%
Oct 20, 2021	WWAC	Worldwide Webb Acquisition	$10.00	$9.98	-0.20%
Oct 20, 2021	CNTX	Context Therapeutics	$5.00	$5.46	9.20%
Oct 19, 2021	BMAQ	Blockchain Moon Acquisition	$10.00	$10.36	3.60%
Oct 19, 2021	SMAP	SportsMap Tech Acquisition	$10.00	$10.08	0.80%
Oct 19, 2021	FEXD	Fintech Ecosystem Development	$10.00	$10.24	2.40%
Oct 19, 2021	ENTF	Enterprise 4.0 Technology Acquisition	$10.00	$10.08	0.80%
Oct 15, 2021	AVHI	Achari Ventures Holdings I	$10.00	$10.11	1.10%
Oct 15, 2021	FOUN	Founder SPAC	$10.00	$10.05	0.50%
Oct 15, 2021	INKT	MiNK Therapeutics	$12.00	$18.99	58.25%
Oct 15, 2021	CDAQ	Compass Digital Acquisition	$10.00	$9.90	-1.00%
Oct 15, 2021	SANB	Sanaby Health Acquisition I	$10.00	$10.10	1.00%
Oct 15, 2021	PEPL	PepperLime Health Acquisition	$10.00	$9.97	-0.30%
Oct 15, 2021	FNA	Paragon 28	$16.00	$23.22	45.13%
Oct 14, 2021	LUCD	Lucid Diagnostics	$14.00	$9.99	-28.64%
Oct 14, 2021	BMAC	Black Mountain Acquisition	$10.00	$10.09	0.90%
Oct 14, 2021	ROSE	Rose Hill Acquisition	$10.00	$10.08	0.80%
Oct 14, 2021	GTLB	GitLab	$77.00	$119.03	54.58%
Oct 14, 2021	TRIS	Tristar Acquisition I	$10.00	$9.97	-0.30%
Oct 14, 2021	IHS	IHS Holding	$21.00	$16.36	-22.10%
Oct 13, 2021	AVDX	AvidXchange	$25.00	$24.93	-0.28%
Oct 13, 2021	FATP	Fat Projects Acquisition	$10.00	$10.07	0.70%
Oct 13, 2021	HCTI	Healthcare Triangle	$4.00	$3.42	-14.63%
Oct 12, 2021	GIAC	Gesher I Acquisition	$10.00	$10.05	0.50%
Oct 8, 2021	SAMA	Schultze Special Purpose Acquisition II	$10.00	$9.97	-0.30%
Oct 8, 2021	HWKZ	Hawks Acquisition	$10.00	$9.95	-0.55%
Oct 8, 2021	ISO	IsoPlexis	$15.00	$14.01	-6.60%
Oct 8, 2021	CGTX	Cognition Therapeutics	$12.00	$12.41	3.42%
Oct 8, 2021	JMAC	Jade Mountain Acquisition	$10.00	$10.19	1.85%
Oct 8, 2021	LCW	Learn CW Investment	$10.00	$10.03	0.30%
Oct 8, 2021	PYXS	Pyxis Oncology	$16.00	$13.64	-14.75%
Oct 7, 2021	THRX	Theseus Pharmaceuticals	$16.00	$19.68	23.00%
Oct 7, 2021	LTH	Life Time Group	$18.00	$18.24	1.33%
Oct 7, 2021	TCN	Tricon Residential	$12.40	$14.43	16.37%
Oct 7, 2021	IXAQ	IX Acquisition	$10.00	$9.92	-0.80%
Oct 6, 2021	PBAX	Phoenix Biotech Acquisition	$10.00	$10.12	1.20%
Oct 6, 2021	PCX	Parsec Capital Acquisitions	$10.00	$10.26	2.60%
Oct 6, 2021	NFYS	Enphys Acquisition	$10.00	$9.84	-1.60%
Oct 6, 2021	VLCN	Volcon	$5.50	$14.88	170.55%
Oct 6, 2021	AVAC	Avalon Acquisition	$10.00	$10.07	0.70%
Oct 6, 2021	NVEI	Nuvei	$123.14	$108.22	-12.12%
Oct 5, 2021	RNER	Mount Rainier Acquisition	$10.00	$10.11	1.10%
Oct 5, 2021	BHAC	Crixus BH3 Acquisition	$10.00	$9.95	-0.50%
Oct 1, 2021	FWRG	First Watch Restaurant Group	$18.00	$20.37	13.17%
Oct 1, 2021	TDCX	TDCX	$18.00	$26.25	45.83%
Oct 1, 2021	EXAI	Exscientia	$22.00	$22.38	1.73%
Oct 1, 2021	MTRY	Monterey Bio Acquisition	$10.00	$10.21	2.05%
Oct 1, 2021	GATE	Marblegate Acquisition	$10.00	$9.99	-0.07%
Oct 1, 2021	DMYS	dMY Technology Group VI	$10.00	$10.19	1.93%
Sep 30, 2021	OLPX	Olaplex Holdings	$21.00	$28.90	37.62%
Sep 30, 2021	HPLT	Home Plate Acquisition	$10.00	$9.90	-1.00%
Sep 30, 2021	ARTE	Artemis Strategic Investment	$10.00	$10.07	0.70%
Sep 29, 2021	MEKA	MELI Kaszek Pioneer	$10.00	$13.10	31.00%
Sep 29, 2021	HCVI	Hennessy Capital Investment VI	$10.00	$10.00	0.00%
Sep 29, 2021	WRBY	Warby Parker	$40.00	$55.15	37.88%
Sep 28, 2021	BACA	Berenson Acquisition I	$10.00	$9.90	-1.00%
Sep 28, 2021	AMPL	Amplitude	$35.00	$82.19	134.83%
Sep 28, 2021	PRBM	Parabellum Acquisition	$10.00	$9.80	-2.00%
Sep 24, 2021	CWAN	Clearwater Analytics	$18.00	$23.65	31.39%
Sep 24, 2021	HLTH	Cue Health	$16.00	$9.85	-38.44%
Sep 24, 2021	GIA	GigCapital5	$10.00	$10.42	4.20%
Sep 24, 2021	DSAQ	Direct Selling Acquisition	$10.00	$10.12	1.16%
Sep 23, 2021	ARBK	Argo Blockchain	$15.00	$17.31	15.40%
Sep 23, 2021	THRN	Thorne HealthTech	$10.00	$9.54	-4.60%
Sep 23, 2021	RELY	Remitly Global	$43.00	$33.97	-21.00%
Sep 23, 2021	BRLT	Brilliant Earth Group	$12.00	$14.25	18.75%
Sep 23, 2021	SOVO	Sovos Brands	$12.00	$14.90	24.17%
Sep 23, 2021	LOCC	Live Oak Crestview Climate Acquisition	$10.00	$9.89	-1.10%
Sep 23, 2021	STER	Sterling Check	$23.00	$23.74	3.22%
Sep 23, 2021	ESMT	EngageSmart	$26.00	$32.08	23.38%
Sep 22, 2021	VBNK	VersaBank	$10.00	$12.50	25.00%
Sep 22, 2021	TOST	Toast	$40.00	$60.26	50.65%
Sep 22, 2021	FRSH	Freshworks	$36.00	$39.59	9.97%
Sep 22, 2021	ARGU	Argus Capital	$10.00	$10.11	1.10%
Sep 22, 2021	IPAX	Inflection Point Acquisition	$10.00	$10.00	0.00%
Sep 22, 2021	AKA	a.k.a. Brands	$11.00	$11.88	8.00%
Sep 21, 2021	HHGC	HHG Capital	$10.00	$10.36	3.60%
Sep 16, 2021	ACT	Enact Holdings	$19.00	$23.52	23.79%
Sep 16, 2021	FORG	ForgeRock	$25.00	$30.66	22.64%
Sep 16, 2021	FLYA	Soar Technology Acquisition	$10.00	$10.22	2.20%
Sep 15, 2021	CIIG	CIIG Capital Partners II	$10.00	$10.12	1.20%
Sep 15, 2021	SIER	Sierra Lake Acquisition	$10.00	$10.00	0.00%
Sep 15, 2021	KTTA	Pasithea Therapeutics	$5.00	$2.63	-47.40%
Sep 15, 2021	EZFL	EzFill Holdings	$4.00	$2.93	-26.75%
Sep 15, 2021	BROS	Dutch Bros	$23.00	$69.71	203.09%
Sep 15, 2021	TWKS	Thoughtworks Holding	$21.00	$30.53	45.38%
Sep 15, 2021	AEHA	Aesther Healthcare Acquisition	$10.00	$10.07	0.70%
Sep 15, 2021	EDNC	Endurance Acquisition	$10.00	$10.15	1.50%
Sep 15, 2021	DICE	DICE Therapeutics	$17.00	$34.55	103.24%
Sep 15, 2021	ONON	On Holding	$24.00	$37.63	56.79%
Sep 15, 2021	PRCT	PROCEPT BioRobotics	$25.00	$43.97	75.88%
Sep 15, 2021	TYRA	Tyra Biosciences	$16.00	$31.35	95.94%
Sep 15, 2021	DH	Definitive Healthcare	$27.00	$40.43	49.74%
Sep 15, 2021	WINV	WinVest Acquisition	$10.00	$10.30	3.00%
Sep 14, 2021	SRAD	Sportradar	$27.00	$23.75	-12.04%
Sep 14, 2021	PAFO	Pacifico Acquisition	$10.00	$9.90	-1.00%
Sep 10, 2021	FHLT	Future Health ESG	$10.00	$9.98	-0.20%
Sep 10, 2021	FLAG	First Light Acquisition Group	$10.00	$10.15	1.50%
Sep 10, 2021	BNIX	Bannix Acquisition	$10.00	$9.82	-1.80%
Sep 10, 2021	SLVR	SilverSPAC	$10.00	$9.91	-0.90%
Sep 8, 2021	BNNR	Banner Acquisition	$10.00	$10.02	0.20%
Sep 3, 2021	DWAC	Digital World Acquisition	$10.00	$58.84	488.40%
Sep 3, 2021	OXUS	Oxus Acquisition	$10.00	$9.90	-1.00%
Sep 2, 2021	GIPR	Generation Income Properties	$10.00	$6.99	-30.10%
Sep 2, 2021	DTRT	DTRT Health Acquisition	$10.00	$9.95	-0.50%
Sep 2, 2021	INAQ	Insight Acquisition	$10.00	$9.75	-2.50%
Sep 1, 2021	CNDA	Concord Acquisition II	$10.00	$9.82	-1.80%
Aug 31, 2021	DDI	DoubleDown Interactive	$18.00	$16.22	-9.89%
Aug 31, 2021	CHWA	CHW Acquisition	$10.00	$9.77	-2.35%
Aug 31, 2021	REVE	Alpine Acquisition	$10.00	$9.98	-0.20%
Aug 27, 2021	SQL	SeqLL	$4.75	$3.70	-22.11%
Aug 26, 2021	MEOA	Minority Equality Opportunities Acquisition	$10.00	$9.97	-0.30%
Aug 26, 2021	SWSS	Springwater Special Situations	$10.00	$9.82	-1.80%
Aug 26, 2021	CCAI	Cascadia Acquisition	$10.00	$9.74	-2.60%
Aug 26, 2021	RNXT	RenovoRx	$9.00	$5.44	-39.56%
Aug 20, 2021	WAVC	Waverley Capital Acquisition 1	$10.00	$9.67	-3.30%
Aug 13, 2021	JAQC	Jupiter Acquisition	$10.00	$9.67	-3.30%
Aug 13, 2021	KCGI	Kensington Capital Acquisition V	$10.00	$9.86	-1.40%
Aug 13, 2021	AACI	Armada Acquisition I	$10.00	$9.90	-1.00%
Aug 13, 2021	DATS	DatChat	$4.15	$7.61	83.37%
Aug 13, 2021	DRMA	Dermata Therapeutics	$7.00	$6.24	-10.86%
Aug 13, 2021	APMI	AxonPrime Infrastructure Acquisition	$10.00	$9.65	-3.50%
Aug 13, 2021	CENQ	CENAQ Energy	$10.00	$9.90	-1.00%
Aug 12, 2021	PPHP	PHP Ventures Acquisition	$10.00	$9.88	-1.25%
Aug 12, 2021	AFTR	AfterNext HealthTech Acquisition	$10.00	$9.71	-2.90%
Aug 12, 2021	SSBK	Southern States Bancshares	$19.00	$19.90	4.74%
Aug 12, 2021	OXAC	Oxbridge Acquisition	$10.00	$9.91	-0.90%
Aug 11, 2021	VCXA	10x Capital Venture Acquisition II	$10.00	$9.80	-2.00%
Aug 11, 2021	TPBA	TPB Acquisition I	$10.00	$10.08	0.80%
Aug 11, 2021	DCRD	Decarbonization Plus IV	$10.00	$9.99	-0.10%
Aug 11, 2021	CNTQ	Chardan NexTech Acquisition 2	$10.00	$9.97	-0.30%
Aug 11, 2021	WQGA	World Quantum Growth Acquisition	$10.00	$9.82	-1.80%
Aug 11, 2021	PONO	Pono Capital	$10.00	$9.96	-0.40%
Aug 10, 2021	AHPA	Avista Public Acquisition II	$10.00	$10.00	0.00%
Aug 10, 2021	CPAA	Conyers Park III Acquisition	$10.00	$9.76	-2.40%
Aug 10, 2021	ASPA	Abri SPAC I	$10.00	$9.87	-1.30%
Aug 10, 2021	ELYM	Eliem Therapeutics	$12.50	$17.82	42.56%
Aug 6, 2021	RVAC	Riverview Acquisition	$10.00	$9.74	-2.60%
Aug 6, 2021	NOVV	Nova Vision Acquisition	$10.00	$9.94	-0.60%
Aug 6, 2021	ROCG	Roth CH Acquisition IV	$10.00	$9.89	-1.15%
Aug 6, 2021	ADGI	Adagio Therapeutics	$17.00	$30.30	78.24%
Aug 5, 2021	WEBR	Weber	$14.00	$16.27	16.21%
Aug 5, 2021	EWCZ	European Wax Center	$17.00	$30.19	77.59%
Aug 5, 2021	GLEE	Gladstone Acquisition	$10.00	$10.00	0.00%
Aug 4, 2021	AMCI	AMCI Acquisition II	$10.00	$9.68	-3.20%
Aug 4, 2021	BWC	Blue Whale Acquisition I	$10.00	$9.76	-2.45%
Aug 3, 2021	HWEL	Healthwell Acquisition I	$10.00	$9.70	-3.00%
Jul 30, 2021	RANI	Rani Therapeutics	$11.00	$31.78	188.91%
Jul 30, 2021	XPAX	XPAC Acquisition	$10.00	$9.66	-3.40%
Jul 30, 2021	DOLE	Dole	$16.00	$13.72	-14.25%
Jul 30, 2021	INAB	IN8bio	$10.00	$7.83	-21.70%
Jul 30, 2021	OMGA	Omega Therapeutics	$17.00	$23.72	39.53%
Jul 30, 2021	IMRX	Immuneering	$15.00	$30.28	101.87%
Jul 30, 2021	RXST	RxSight	$16.00	$12.86	-19.63%
Jul 30, 2021	TNYA	Tenaya Therapeutics	$15.00	$26.37	75.80%
